sent_id	img_id	txt_caption
54	0JV31YUbUI1kijsb	An empty hot dog stand with a striped canopy stands in the street.
55	CjOxISsSi2m0ar1A	Shelves containing black canisters with a counter in front of it with jars and canisters.
56	_0PT_n46RGq0-VvD	A cross is being used as a sign of respect for someone who has previously died.
57	Pe6UxRo9tRCwft0l	Several jockeys riding horses on a racetrack.
58	22FQNMXGMRzny9N8	A pink jellyfish against a blue background.
59	-ucfJdNWN1G7UB3Q	A group of people watch an elephant.
60	CQ2u7UBiqKDPYfnp	Men stand beside a rocket as they prepare to launch it.
61	Culf61hzldHm2fOf	Two men are standing behind a car holding a bicycle with two other people with bicycles in the background.
62	9H5NLM5Pn_06JS6U	A group of males and females posing by the sea with an orange sky and low sun.
63	FZVU9Nc_GKkvL0W9	Three people dressed as pirates and standing on a ship.
64	TojsF8C4bNb0UKvQ	A man with spiky hair is holding up a technology certificate.
65	5_V5TahqSjDrHQuc	An image of a sheep standing in a field.
66	-xC8K7buk4MISLuL	A woman wearing a long purple dress and pants.
67	OvURLUQN2MsHnDQ9	A speedboat sails across a body of water.
68	fcvLC-JCXwNE6E6S	There is a bird on a branch.
69	oKLsiUsblh7PxnaL	A large cargo vehicle is being lifted by a crane.
70	EF1svnsZSpDkkqhE	Two dogs and a puppy sitting and lying outdoor.
71	sXUS9KyacZ4lpxPC	A full subway train in japan.
72	gtpIuq9A2D4qCc8h	Ocean waves hitting the rocks at the bottom of green hillsides.
73	0QN4zr0nSLk-rwlU	A sports car on the cover of a magazine.
74	TvfuviGNEMV-Np2T	Two pheasants, one of which is flying in to land.
75	dhkqvoNmD-ud9MZF	The band simple plan are in an empty bus.
76	vPoOI6rDotf57GCr	A matador is fighting a bull with a red cape n a bull ring.
77	QuaVn3jTwFvSRiRq	Men dressed in their with snow mobiles.
78	47on_tr5XWQX53s_	A women posing while wearing a white blouse with grey pants.
79	RNI5coMRpEidxurQ	A view of a river, going through a urban area full of trees and buildings.
80	v6wtkD80GiJCMKBs	A nicely decorated white and silver living room.
81	TBi5Wz1Wdc4EQyeW	A group of people in a field aiming bow and arrows and looks like a few crossbows also.
82	q_k3Zq8jQayGmzF0	A bridge and some buildings along a river.
83	hUNQTGk2BhAYwNgI	A beautiful girl with expressive eyes, and dark, curly hair, wearing something red and textured, has the lower half of her face covered up by her sleeve.
84	3tuOcF7tB7uZgf5F	A woman dressed in a pink gown with a white turtleneck underneath and several necklaces sits in a chair holding a cane looking up at something.
85	EUw9dNUPRe-OAS4k	A woman in a black dress stands on a red carpet.
86	uR8wGXoyL5fZ9AYT	A fountain in front of a building at night.
87	o5RKGMYhBH0tk8jj	A fuzzy bug crawling on a board.
88	bZqSJjFDQ-jjrUJR	A black and white picture of a woman leaning on a table with a background of urban buildings.
89	75o_GzCeuEgqGNEC	A black and white picture of a detached house, it has two two balconies on on each floor of the house, and three windows on each floor, there are two bushes and two evergreen trees in front of the house and a stairs leading to the first balcony., surrounding the house is country looking land.
90	FkAprhxGEViLFSjd	A swimmer in a blue and white cap and goggles swims in a pool.
91	-fNfEFhA-q-cnCFg	A bunch of people are in a recording studio.
92	xZIcKm4hRInOXqzQ	A man and woman gaze into each others eyes, with a rose in between.
93	6VMg7tJ3lcfDsn6q	A man posing while standing in a forest area.
94	b0agpCj9QtuXAo97	A man and woman in red clothing dancing, another man and woman in the background.
95	s4pgi0LlDqc1tut5	People in a shelter sitting and laying on mats with some standing in the back.
96	j0hGjhkxBbAdYiag	A woman in a swimsuit is riding a horse in the water.
97	ph0QcUf4UdD9kJMz	A day bed sits in front of a wall with a shelf with boats.
98	ZtyP8Z4Tv0jZGN3V	People standing with one of them pointing into the air.
99	7AagDgrQEOL6t_aQ	A fake cat has a snack in front of it.
100	Eju_IJ-xxB0x9bJ9	A large rock ruin with a blue sky.
101	yNoyzwuZfUcZGIrK	A woman stands in a field wearing a rucksack.
102	FjNd1gK4MZdK8Ma-	Two people are racing in go carts on a track.
103	GLIt3UC-te4m0YZv	Four men in suits standing in a yard in front of an ivy covered house.
104	aF3iTECdtRLmCKoy	A woman in a sundress standing at a backdrop of water and a blue sunny sky.
105	n77DHADXySILcBcK	A man buffs a car with a green plant in the background.
106	Xe_fyDOYz98-pw3c	A man riding a digging vehicle.
107	pvlPM3g7lwMmBJGv	A tall monument behind a statue against a blue sky on a sunny winter's day.
108	ZkaLnw5IpJ-IrPsL	Two boxers fighting in a ring.
109	-rcRLZNZ79EOcHbt	A man pointing a gun at the camera.
110	1t4isnCtAAUa1Jk4	A girl in the white snow.
111	dfR8X3-G1Bd0ttKi	A boat docked at a harbour.
112	-Aeuc_-CWKF96z-s	Two bunk beds with a coloured duvet.
113	1oyn3gf-oOXUuBiQ	A ship is along a pier.
114	ru273Ei-aMQ7D-JR	A boat on the water with some buildings in the background.
115	3uzDvGXFTasoWZps	A group of men wearing blue are shaking hands after playing cricket.
116	paGAgSDsT7NkWBBA	Three men are conversing while standing around in racing overalls, one man holds a camera.
117	75o_GzCeuEgqGNEC	A black and white image of a house with a porch.
118	tXmVVk9yLKFeV-Sb	A jagged rock face that has four large spherical green cacti attached to it.
119	_jndnNdW08vp_uUB	A group of people standing on grass .
120	V8t7tTcayNCNZiDB	A man wearing a long blue apron is standing on a floor lift in front of the backsides of some cows.
121	-PNOjxOjVGR7tmk7	A photo of a ship sitting on the water with a shipping city in the background.
122	xtazChejncYuQYh_	I grey colt in a green pasture.
123	a1jjpRC7Segl4ENH	A small cobbled street, with houses on the side, flowers and plants are visible on the buildings.
124	PhKMuXle-Gpgxmbc	Two women smile and embrace closely with their faces touching.
125	Z_hh24UvW01Bap3T	A large cabinet in a warehouse.
126	06AJq-FNnpK6TwFx	A group of women posing with a trophy.
127	wrkwHC-nIHki6M-4	A little girl is dressed in a monkey hat.
128	1yMxqhIUfWmm8pkA	A woman in a long dress posing near a wall.
129	4ibDkaDtfd5zKxfq	A seethrough tank in the middle of trees with ray lights coming through them.
130	rd_01fk9grRgy8CN	A brown bear sits in a tree.
131	AG_QAGJdnI7ZNNQx	A sailboat on Photoshopped sunset bay.
132	97bSQkr162tgTnCE	A green wagon with big red wheels, a large barrel on the side and white canopy over top, is sitting on a patch of grass.
133	TuWdjPvSv2gG45c1	People dressed in medieval clothing are standing near a tent.
134	z2GUT2K2Xagn9j-A	Two women in head scarves outside their home.
135	0_QSjCiUSy_Pn1N3	Two men and a women standing outside.
136	EjXgT1f19VSRgzpi	A house with a garden surrounding it, the house is white and one of the windows is boarded up.
137	9NDgZBIYZccz5xmb	A woman is standing wearing a white wedding dress.
138	_zSW1tWsB3vP64dF	A man in a winter jacket and clasped hands in front of snowy background.
139	9q4sWyzcCeFshw8e	A gray lizard with red spots.
140	1EpLy_14fyExDHHI	A man is holding out a lobster over a rail.
141	8usTLD-Wg5EHCShk	Children playing on a playground.
142	CuergI1fCXkpjaCJ	A young child taking medicine for via an inhaler for asthma.
143	R4Hj6Z1qqACd_5hC	A truck parked on a dirt road.
144	FRHZ8gIZqIbvYXAM	A woman standing indoors with dowsing rods.
145	7Yeixe5RxEd6_Ry2	There is a blonde woman who is touching her hair.
146	TBi5Wz1Wdc4EQyeW	A large group of archers preparing to shoot arrows.
147	2CJxF38F_Qgg6Fhi	A black and white image of a man wearing a cowboy hat and striped shirt holding an object under his arm.
148	LargtV8TR8koTqjQ	Two women in white nightdresses hold a large, blindfolded puppet.
149	qJ4cuZDUnmlD2de5	Group of construction workers in helmets and work jackets holding instruments.
150	PwD3S2vdXdLMVsQR	Two men grasping hands at a booth inside.
151	r-c-na0cpxXBNhOM	A sailboat is steered in a body of water.
152	5GzKq4WIU5kbscDZ	A scenic view of the ocean during the day.
153	CWlQ1WiGCagMOEfG	A group of people sitting down at a press conference.
154	iFtWsLbM57PmVTEW	It's a picture on the set of a harry potter movie.
155	YrF83_twEPyJAlyW	Several people in a boat beneath a bridge.
156	FpuBtmNKtQEyl1S5	A man wearing a blue jacket and scarf, stands next to three men who are dresses in dinner jackets, and bow ties,, whilst a fifth man wearing a white logo T-shirt, stands to their right.
157	0ykEsG48iKHR-zpr	An image of an aeroplane.
158	Ck_J-NFmW6gy1pb-	A group of people on stage performing.
159	_7cWW6Csd6UDNbmn	Two men share an embrace in front of a crowd of people.
160	sPTekOHekGzko_H2	A plant with beautiful flowers.
161	5TpVjGzAgrCsfncZ	A view of two climbers in front of the sun, arms outstretched, reaching for each other.
162	0tmxOVsJSvmVAU6p	A baby eating food in a high chair.
163	KmtTvu2nqa1Q561c	A jockey in a yellow hat, a blue shirt and white pants rides a horse that is #4 at the Breeders' Cup.
164	c6bc8iC0QN_egzNB	There is an animal sitting in a field of brown grass.
165	v0ut4nn4Wms0aZLp	A band featuring three shirtless and tattooed men and a drummer seated behind the drum kit.
166	gR7X_4DWGPGY3MVq	A nuclear explosion that probably caused a ton of radiation.
167	7-O0vqwVJpwcykFY	A snake coiled up on the ground outside.
168	JKPdw6y2FTJxsh1K	A picture of a man and a woman.
169	Z7EADoselHLkhs7k	A person is doused in glitter.
170	y_ETf251TvsZ_4lY	Two people are riding motorcycles on a race track while a crowd looks on in the background.
171	5GzKq4WIU5kbscDZ	Sunlight shines though the clouds and reflects off of the water below.
172	MtZBBCeW08TNI3f3	A river with a large bridge and some buildings.
173	VD67ka8FjOX0WzsZ	A building with many windows has lights on inside.
174	IvaKEg3BWI1wFxDx	Several shoes are scattered across pavement, as a large group sits nearby.
175	FbnABoWszEfZvMWg	A kid going for a shot in basketball while another kid tries to block.
176	IMAD0sq2Fz7HpSgX	There is a yellow train riding along the track.
177	N8nc3hrG03DwktLA	A man in a white shirt sitting on a small couch that is placed on some concrete with a brown mountain in the background.
178	FRHZ8gIZqIbvYXAM	A woman wearing a white jumper, holding sticks standing in a room.
179	hsdxGmzlZmjpRjrC	A view of an open marketplace with many stalls and people milling around, in the evening.
180	0-ps1_iHvDYtP3Vr	A group of people watching others perform.
181	xPfK6uVjhKnf_u0R	A woman on the radio talking through a mike.
182	DOcSSzz-cxrVX--U	The exterior of a pueblo building is pictured.
183	HDK03OONHpyo7-KK	An overview of a town in front of a range of mountains.
184	t79L6vLZEZCD2xnT	Cover art for the towering inferno.
185	QgNm_FRoEvP00ZWm	Two orange towels folded on a bathroom shelve with a pair of toothbrushes on it.
186	vwseyfLQmt18COar	Rock stairs form a path in the middle of rocky walls.
187	iFtWsLbM57PmVTEW	Two men and a girl are shown, the men are wearing suits.
188	sP6ccXgyduJPAFXa	A man in a t shirt and cowboy hat stands near a small silver car in a dirt lot.
189	2ybRWzZUJRttCzpu	A vehicle parked in a field.
190	AUCrJj1LpT0pM_HN	A woman wearing a dress with only one strap.
191	oKLsiUsblh7PxnaL	A white structure attached to a crane with people looking up at it.
192	4vRfE2ZRLUo3jJrx	What looks like a waiting room with rows of chairs and a table.
193	vI7tG7vy0TD5Qke2	A girl and boy playing outside with toy trains.
194	6e3OOBOz0U2yUPw2	Two couples are standing next to each other for a photo.
195	eVmdRuUCzXSFiajS	A dog sits on the beach on a sunny day.
196	_lrKU_2NgNkRTjnM	A single red truck that belongs to Covington Fire Department.
197	6e3OOBOz0U2yUPw2	A group of people posing for a picture.
198	CHIbdRu5Pe5ykKEk	A picture of some trees and the ocean.
199	0O-0cAnEBxDjw-uy	A well dressed woman posing in front of a building.
200	alJwZO4t7CeX2B0y	A view of inside a building that has tables and chairs.
201	k5x9dlvR6ZqaAdOx	A deserted roadway with a fence to the right.
202	5mgN-iPZdKi6JSMx	A jet is breaking the sound barrier in the sky.
203	E4Lc34yPwx3eXUpQ	A stone and wood residential property in a snowy forest.
204	_4C-bQyW7s9zEz0r	A slightly blurred image of a white ship on a blue sea, with the blue sky in the background.
205	nZA7ftIuyX7cWoai	A man prepares to kick a soccer ball during a match.
206	k_Myf4Tlu1tKVRk1	Group of kids enjoying a ride at an amusement park.
207	sFs95iPRKXFLoc_w	A lady with silly tattoos on her arm.
208	2bxswwKoY_dpWlqq	A man and woman in theatrical dress are talking to each other.
209	vKCQxt8ZFztHzsq1	A woman poses on the red carpet in front of a promotional poster.
210	AiEI0dA7N_D0OIKS	A woman wearing blue and white with blue and white stripes painted on her face.
211	A9a1IaE9A81ed2pZ	A woman is in a field, holding a little flag.
212	XikXhVKRFAQS02XD	An old white car is being serviced.
213	VrG-rnmPrf1Bb3V0	A view of four statues from Easter Island.
214	1JIlIeYR8bVkUJm7	A man with a red umbrella walking past a shop window.
215	cqpTaVCZZe5OpuIk	People stand on a sidewalk next to a busy street.
216	ZZN26mka_KUl-Y5H	Picture of a volcano explosion at night.
217	YnLYUhj14iFysSOY	A spots team poses for a group photo in their team uniforms.
218	KYh58f658-TyFhub	A bear walking outside in the sunshine.
219	3oNvvbf-DzKw15XH	A large stone building with a tree in front.
220	h7_W6NhG3Uji42jG	A professional motorcycle road bypass.
221	6JbqsR-djksUnnKf	Palm trees by the ocean, in shadow against a night sky.
222	IPcFtNL-7EQ6Z0yu	Two soccer players in orange and black uniforms with orange socks on the field.
223	oCrTf6zvGKaDjKXp	Two people driving in a fancy older car.
224	wTA-xmaw79Uegd8X	Two men with their backs to the camera wearing red life jackets and helmets working in front of a ladder and holding a cable.
225	TKfzX1tdiPFoh1YR	A man showing a big lizard to a group of students.
226	mXZqizlXAuoJP0KG	A pile a contraband arranged into a pyramid, with two police officers behind.
227	-rcRLZNZ79EOcHbt	An image of a man pointing a gun.
228	_zSrdlKjh98zXOYM	A white suv with light on top is parked by the curb of the street which is in front of a building.
229	hawj8QzTA-Eil_rD	Three women with letters on their stomachs pose for a picture.
230	06AJq-FNnpK6TwFx	A very happy female Japanese sports team poses.
231	_7sBR72w4iSqHxju	A row of row houses and a car sitting in front of them.
232	X5go4EGJ8K8MzB47	Two cannons are pictured in an old fortress.
233	5Srk6J7WfIsrlwst	A black car is missing wheels.
234	3ZR3heXW15H0e2oo	A women is seen holding onto her purse.
235	3xy9q6554yPdtQzu	Several white trucks and a car parked outside.
236	6bsoYVJO6zB1OXTL	Three people in medical clothing stand together.
237	Sy-U0-9WYtWjDubI	A large sea vessel in port with steam in the background at dusk.
238	Jgp2YznSCAaU2NJp	A deer standing in the woods.
239	AP5oyUADRlcGN3K_	People are seated around a table outside eating food.
240	YzVTOCQySaacl7mG	A tree with red leaves in a yard.
241	PP88-g6QDKF0Gl-Y	A window with ornate pillars.
242	uyh4OiLxR1ECBFLv	An old fashioned piano on a wooden floor.
243	r-PW9tHFaubfheCs	A group of children and a few adults gathered outside by a climbing frame.
244	lNqvYPSoynHbU5Sv	Row of men sitting with their feet in baskets.
245	pv6sjoifzHbMSm_q	Picture of a roman type building which seems to be breaking up, in the background is some fields and some modern buildings.
246	3tuOcF7tB7uZgf5F	A women in a pink dress sitting down while holding a cane.
247	3xy9q6554yPdtQzu	Several trucks parked in a row.
248	ajfvFma1zExYl5uY	Three large flat fish and other fish in the background, swimming in clear blue waters.
249	kSZdaUMsG6AFG0vh	A view of a chair and some potted plants outside on a deck during the day.
250	ZIWFPoOF3Y6HkCWZ	A picture of a horse in the wild.
251	LargtV8TR8koTqjQ	Three females in night gowns and one is blind folded.
252	d0pY-9JH6Hwfd4qW	A baby with a stuffed toy.
253	J8eFSJRmcn3nSk7f	A black gentleman operating machinery.
254	Ba2zAmJumvnGu3PB	A picture of a man hiding around a corner of a brick wall, wearing a cap and a leather jacket.
255	L2GFheXe3Kjk7bSR	A view of a large building with moss on the front.
256	DBaUCNImWwG0SBAv	A brown dog with red leash.
257	Q7oEsYC5DNFpydW8	Two people sitting on the walled edge of a river looking at five swans in the river.
258	ZhUqN_fQB434X6_S	A group of people at a cancer event.
259	7-O0vqwVJpwcykFY	Long snake on the ground.
260	35o477J3SpfZlU12	Two children pose on a gorilla statue.
261	qnafdAAWTe3o54M7	Two pink and white birds with long legs.
262	LdSMS5ALemc8WO-u	A dark green military aircraft flying in a cloudy sky.
263	Q480ovZ0GmXTuyjn	Two people standing in a room near a bed and stand.
264	aP9yE7uTIHdpMeJO	A small boat with people in it, in front of a large ship in the water.
265	6bsoYVJO6zB1OXTL	A picture of three people dressed as doctors with a blue background.
266	56qZnrVS3CzBG9Rs	Inside of a gym with lots of equipment.
267	Wxea6vGzWb4I1NPD	A port hole view of the harbor and a city.
268	9xhQ6sCkKhIcGj8o	A group of people inside a large room with a lot of large paintings on a wall.
269	mFUIIMtgD_D3ra1F	A man in a white hat and shirt is holding onto a rope.
270	BuZjIZs6Cmj4Kpye	A male sheep is standing on some rocks in front of other female sheep.
271	uUZectjSeT7JQiMP	A scenic view of a city during the daytime, with a bridge prominently displayed.
272	wgtjZ_eJET1toc-2	The ice cream float in an old parade.
273	aGzi40penJ3Fur3r	There is a group of people and some sacks.
274	-q-lecPJgKXcZnOI	Three fish bowls with two fish jumping out of one into another.
275	ThiEuJVkyd2bf7yw	A person lying face down with glass cups attached to their back.
276	GGBPe-YYqlM6FaWd	A bald, black man with sunglasses and a blue top.
277	FpuBtmNKtQEyl1S5	Five men smiling in front of double doors.
278	LdSMS5ALemc8WO-u	A jet flying through the air.
279	dDdbGACKVNbIQSov	A man pulling a piano with a rope.
280	0ykEsG48iKHR-zpr	An aeroplane is taking off from a runway, with large plumes of black smoke trailing from it.
281	ZL7CnmkAG4Ir3ahS	A women wearing a labcoat staring through a microscope.
282	T0z8Yqwv4V_4_MdG	An image of a woman in a blue shirt is painted on a wall.
283	3tuOcF7tB7uZgf5F	An elderly woman wearing a pink outfit and a necklace is sat in a chair.
284	1yMxqhIUfWmm8pkA	A woman wearing a red dress leaning against a wall.
285	A9M5EJr15FIRaI9w	Old picture showing airplanes and houses and vehicles and people.
286	-fC0_r4cS1qMlo9Z	A convertible car sits at a car show.
287	upSwJUA8d4S3ORW7	An Asian woman wearing clothing and an umbrella that is advertising a oil brand.
288	WB8LVHYM4BZIuBiN	A woman in a hat sits on a horse.
289	dtaiwQF_t8IS5V6V	A female model is posing for the camera wearing a pink sari, the audience are visible in the background.
290	mfM4OulrjRXEj4lH	A canadian steamship on the water.
291	2N9_1n3-xDfrGwv2	A black and white picture of a woman in a sequin dress.
292	zOJIoXrvaEvVq1m6	Two sinks with mirrors over them on a white wall.
293	dHmlu5jm6T6coC2u	A man is looking at a large white monument with lists of name inscribed upon it and wreathes of flowers at its base.
294	ihXGXtvP1IMH9YfK	Some men and women are talking to each other around a table.
295	lGhXs4a0R4ITZx-C	The head and shoulders of a woman in a pink dress and gold earrings.
296	FT68gSdvDvyvdTQM	Six men squatting in front of a large blue and white sign.
297	B6sd3MotHsx8TB9c	A cafeteria with sun streaming in and people up on a balcony.
298	2CA_n4XnIfp2zh_b	A group of people walking along the road on a dirt path.
299	tUcAjNN3mLhvo2MW	A man and a woman with water behind them.
300	Oc5XDdKJJtVV4lDD	Some sailing boats moored by the side of a river next to trees and some houses.
301	nbDdWG6Ajjm8veSO	Three old fashioned cars are parked.
302	vDB9oTGS9QxKUCvD	A picture of a military organization standing at attention on the street.
303	YzVTOCQySaacl7mG	A large tree changing color.
304	9-ckJkZLP3b4h3gE	Two people sit on a bench at the end of a ramp to watch the sun set.
305	WxaOWsisaqZGkYXj	A stand with Christian memorabilia.
306	6BdBI0rmIDPkVVX9	A beautiful stone bridge spans a river.
307	HPJpCXlS5E3fDaK6	Looking behind the counter with a silver cash register to the side, alcohol in the brown shelf and a food menu above.
308	zYdcoXJdVqlunYqw	A young boy eating chocolate ice cream.
309	wPVVYxeRRjcdf1ts	The tail end of an airplane with a man underneath.
310	0Dk6OeEi7p55E1PD	A woman wearing a flowered top and glasses sitting on a rug with the sun and moon and starts holding a baby in a receiving blanket.
311	_LD64AMMgZh9WCUJ	Two people picking flowers in a field.
312	YTpwu6H-DEG2VUM0	Three men playing soccer near a blue fence.
313	4Y32B7ichgZ6GXEW	Something growing on a tree.
314	4wMIeacM47C2Y6VV	Three furry black and white puppies.
315	OcDQTUUPkTRH8OHT	There is a man in a room in front of a fan talking on a microphone.
316	v-91JqRv9DCt_cK4	A picture of multiple male men relaxing on the beach, with buildings and hills in the background.
317	97bSQkr162tgTnCE	A green and white wagon with red wheels stands on grass with trees in the background.
318	ITvkT5bYoqzkky1H	Shipyard is busy with ships and boats.
319	fcvLC-JCXwNE6E6S	A colorful Toucan is sitting on a tree.
320	hAlDh0hhHu70bpTq	The inside of a man made contraption.
321	9vFuD-Y4_Nufruut	A group of men are cutting logs.
322	82JYn-3PvzP2qrYn	A bus is parked on a street on a sunny day.
323	YTpwu6H-DEG2VUM0	A football player jumps in the air to head the ball during a game.
324	i-2_01KXg0Jr_96G	Three people are on a boat ride.
325	WB2LrglktXazW5Xh	A child floating in the air holding onto a bunch of balloons.
326	XIOIddeNkxZxKtPH	A boy aiming a rifle at a range.
327	JprSrCML2_CaY5cx	A man wearing goggles in front of a house.
328	BrPJJz4fkPBFfTS1	A picture of a little girl with her toy during the day.
329	i12ZPhvVDF2M9iq1	Two elephants rub trunks together in a field.
330	h7_W6NhG3Uji42jG	A person is leaning sideways on the motorcycle he is racing on.
331	tOJuxO05tcX_Vo7d	A barefoot young woman wearing a t-shirt and blue jeans, sitting on a large blue beanbag, while she holds a mug in her hand and smiles.
332	GyWhB50wmBV0k5sk	A woman in a pale dress and a floral hat holding some flowers.
333	cnpEUWmjtwu7UoNE	A bedroom with a window open.
334	AiEI0dA7N_D0OIKS	A woman wearing a Jewish flag as a top.
335	tubWwC9bJf6WTRlE	A woman in a pink dress.
336	YrF83_twEPyJAlyW	In this image there is a lake with people in a canoe being paddled under a bridge.
337	3sb5MqboczetUBuO	Many cars on a highway and buildings behind them.
338	puAgbZTyCT6oAW5J	A red white and blue helicopter sitting on the ground with pilots inside.
339	-TAwRWmwf91AB1S7	Two men in suits, one of whom is wearing a top hat.
340	hZLqai4_x9_8ulUK	A black and white picture of a woman's face.
341	_wnB3XznLBzKtXer	A man in grey clothing is leading a donkey by his side as he walks, there is another donkey eating grass behind them, in the distance raised slightly above them are many white buildings, and a plough field is next to the man.
342	Yx7N7cLbABWvyKCc	Six people filling sacks with grain, surrounded by a lot of already filled sacks.
343	1EpLy_14fyExDHHI	A man wearing a hat stands by a rail holding a lobster.
344	22FQNMXGMRzny9N8	A pink and red dots on something with blue background.
345	inQQCSt_uSqx8keH	A multi coloured object, blue silver & green, sits on some patterned wood.
346	1nF0RS4gAPcyI8MO	A military vehicle flying two American flags parked in the desert.
347	tujPuJKPRT4BX6P3	A dog with his tongue out in front of a fence.
348	3tuOcF7tB7uZgf5F	A woman in a purple blouse is sitting in a chair.
349	ZNzK6uxomD-C9Td1	Three polar bears posed in front of a flower with home comforts.
350	NaWZCj6rZ-pVeKTJ	A group of teenagers in red tee shirts grouped together outside the steps of a brick building.
351	Ta6mh89tQbqfS2LA	A group of boys actively play a game outdoors.
352	_7WD8t0NxLrBKgJG	Several pigeons on the ground or near the ground in the air on an urban background.
353	P5xKs0Q1QB8vbgVH	A man is posing for a picture holding a fish.
354	_wuUefzxGUBGL_QL	A black and white image of a toddler dressed in a hat and a striped outfit crouching in front of a vehicle.
355	QH4nUQ5WkxxFdq7p	A promotional poster for the film 'Loose Cannons'.
356	inQQCSt_uSqx8keH	A blue,green and gray figure .
357	Roa0yU7KHhwG-Yld	A man and woman are having a discussion in front of machinery.
358	5GzKq4WIU5kbscDZ	The horizon between the cloudy sky and and blue sea.
359	qPLMghBSUDDUcRll	A blue and white mattress and box spring on a bed in a bedroom setting.
360	-PNOjxOjVGR7tmk7	A large cargo ship is moving through water next to a town.
361	pVSwxIg--gtr_5d4	A silver car is parked on a grass field.
362	AUCrJj1LpT0pM_HN	A picture of a woman in a skimpy dress.
363	axvyMj0pyPH_aQkV	Four colorful wind socks hang from a pergola.
364	1siDmJQ7LtL2kJnU	A helicopter is sitting on a lawn in front of a two story house.
